date,period,actual_inflation_pct,forecast_inflation_pct,lower_80,upper_80,lower_95,upper_95
2025-07-01,Observed,1.9016837553312849,,,,,
2025-08-01,Observed,1.8757935113502766,,,,,
2025-09-01,Observed,2.0759603239513646,,,,,
2025-10-01,Observed,2.3419431023919524,,,,,
2025-11-01,Observed,2.472919671078566,,,,,
2025-12-01,Observed,2.8452719345717137,,,,,
2026-01-01,Observed,2.881619353661713,,,,,
2026-02-01,Observed,2.896319072672693,,,,,
2026-03-01,Observed,3.38262219244152,,,,,
2026-04-01,Observed,2.5821795615674548,,,,,
2026-05-01,Observed,2.1499723349908573,,,,,
2026-06-01,Observed,1.8868714688293764,,,,,
2026-07-01,Forecast,,2.0459272250652214,-0.24513577584443302,4.336990225974876,-1.4579512678668705,5.549805717997313
2026-08-01,Forecast,,2.1811497994210662,-1.2349764902353986,5.597276089077531,-3.0433645114969177,7.40566411033905
2026-09-01,Forecast,,2.1383105325124303,-1.6155482927074503,5.89216935773231,-3.6027211187206056,7.879342183745466
2026-10-01,Forecast,,2.0843705398645658,-1.9035284017917395,6.0722694815208715,-4.014594581613206,8.183335661342337
